2025-09-09 15:29:42,373 - INFO - 开始训练 MADDPG...
2025-09-09 15:29:42,373 - INFO - 日志目录: log/train_2025-09-09-15-29
2025-09-09 15:29:42,373 - INFO - 配置文件已保存到: log/train_2025-09-09-15-29/config.json
2025-09-09 15:29:42,374 - INFO - 配置参数: {'map': {'kMaxX': 5.0, 'kMaxY': 5.0, 'kMinX': -5.0, 'kMinY': -5.0, 'kMaxObsR': 1.0, 'kMinObsR': 0.3, 'kNumAgents': 2, 'kNumGoals': 5, 'kNumObstacles': 3, 'kTimeStep': 0.1}, 'agent': {'kAgentRadius': 0.2, 'kMaxSpeed': 1.0, 'kMaxAngularSpeed': 1.0, 'kNumRadars': 32, 'kMaxRadarDist': 3.0}, 'goal': {'kGoalThreshold': 0.3}, 'reward': {'kTimeReward': -0.1, 'kCollisionReward': -100.0, 'kGoalReward': 100.0, 'kDistanceReward': 0.1, 'kAgentSeparationReward': 0.1, 'kMinAgentDistance': 1.0, 'kMinGoalDistance': 0.1}, 'training': {'max_episodes': 1000, 'max_steps_per_episode': 500, 'buffer_size': 100000, 'batch_size': 256, 'learning_rate': 2e-05, 'lr_decay': 0.99, 'min_learning_rate': 5e-06, 'gamma': 0.95, 'tau': 0.01, 'noise_std': 0.1, 'noise_decay': 0.995, 'min_noise_std': 0.01, 'smart_noise_control': True, 'save_interval': 500, 'log_interval': 10, 'device': 'cuda'}}
2025-09-09 15:29:42,402 - INFO - 使用设备: cuda
2025-09-09 15:29:42,409 - INFO - 环境创建成功 - Agent数量: 2, 目标数量: 5, 障碍物数量: 3
2025-09-09 15:29:42,410 - INFO - 状态维度 - Agent状态: 3, 观测维度: 32, 动作维度: 2
2025-09-09 15:29:42,410 - INFO - 全局状态维度: 30, 最大动作: [1. 1.]
2025-09-09 15:29:43,740 - INFO - 智能体团队创建成功
2025-09-09 15:29:43,740 - INFO - 经验回放缓冲区创建成功
2025-09-09 15:29:43,740 - INFO - 保存初始环境状态图...
2025-09-09 15:29:44,443 - INFO - 初始环境状态图已保存到: images/initial_environment_state.png
2025-09-09 15:29:44,443 - INFO - 开始训练循环...
2025-09-09 15:29:49,556 - INFO - Episode 10/1000 - 平均奖励: -100.836, 平均步数: 42.7, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000020, 噪声标准差: 0.0951, 用时: 0.16s
2025-09-09 15:29:51,029 - INFO - Episode 20/1000 - 平均奖励: -100.167, 平均步数: 8.4, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000020, 噪声标准差: 0.0905, 用时: 0.14s
2025-09-09 15:29:52,440 - INFO - Episode 30/1000 - 平均奖励: -100.163, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000020, 噪声标准差: 0.0860, 用时: 0.14s
2025-09-09 15:29:53,861 - INFO - Episode 40/1000 - 平均奖励: -100.163, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000019, 噪声标准差: 0.0818, 用时: 0.14s
2025-09-09 15:29:55,289 - INFO - Episode 50/1000 - 平均奖励: -100.171, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000019, 噪声标准差: 0.0778, 用时: 0.15s
2025-09-09 15:29:56,785 - INFO - Episode 60/1000 - 平均奖励: -150.239, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000019, 噪声标准差: 0.0740, 用时: 0.15s
2025-09-09 15:29:58,199 - INFO - Episode 70/1000 - 平均奖励: -190.263, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000019, 噪声标准差: 0.0704, 用时: 0.15s
2025-09-09 15:29:59,579 - INFO - Episode 80/1000 - 平均奖励: -190.263, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000019, 噪声标准差: 0.0670, 用时: 0.14s
2025-09-09 15:30:00,966 - INFO - Episode 90/1000 - 平均奖励: -200.269, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0637, 用时: 0.14s
2025-09-09 15:30:02,402 - INFO - Episode 100/1000 - 平均奖励: -140.236, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0606, 用时: 0.14s
2025-09-09 15:30:04,122 - INFO - Episode 110/1000 - 平均奖励: -100.241, 平均步数: 9.7, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0576, 用时: 0.17s
2025-09-09 15:30:05,806 - INFO - Episode 120/1000 - 平均奖励: -100.355, 平均步数: 10.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0548, 用时: 0.17s
2025-09-09 15:30:07,465 - INFO - Episode 130/1000 - 平均奖励: -100.357, 平均步数: 10.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0521, 用时: 0.16s
2025-09-09 15:30:09,289 - INFO - Episode 140/1000 - 平均奖励: -100.394, 平均步数: 10.9, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0496, 用时: 0.32s
2025-09-09 15:30:15,172 - INFO - Episode 150/1000 - 平均奖励: -100.991, 平均步数: 33.7, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000017, 噪声标准差: 0.0471, 用时: 0.61s
2025-09-09 15:30:20,747 - INFO - Episode 160/1000 - 平均奖励: -101.004, 平均步数: 34.2, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000017, 噪声标准差: 0.0448, 用时: 0.57s
2025-09-09 15:30:26,792 - INFO - Episode 170/1000 - 平均奖励: -100.987, 平均步数: 33.6, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000017, 噪声标准差: 0.0427, 用时: 0.62s
2025-09-09 15:30:32,325 - INFO - Episode 180/1000 - 平均奖励: -100.996, 平均步数: 34.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000017, 噪声标准差: 0.0406, 用时: 0.57s
2025-09-09 15:30:37,828 - INFO - Episode 190/1000 - 平均奖励: -100.993, 平均步数: 33.8, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000017, 噪声标准差: 0.0386, 用时: 0.56s
2025-09-09 15:30:43,986 - INFO - Episode 200/1000 - 平均奖励: -101.000, 平均步数: 34.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000017, 噪声标准差: 0.0367, 用时: 0.62s
2025-09-09 15:30:49,478 - INFO - Episode 210/1000 - 平均奖励: -100.994, 平均步数: 33.8, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000016, 噪声标准差: 0.0349, 用时: 0.56s
2025-09-09 15:30:55,544 - INFO - Episode 220/1000 - 平均奖励: -100.987, 平均步数: 33.6, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000016, 噪声标准差: 0.0332, 用时: 0.62s
2025-09-09 15:31:01,197 - INFO - Episode 230/1000 - 平均奖励: -100.993, 平均步数: 33.8, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000016, 噪声标准差: 0.0316, 用时: 0.58s
2025-09-09 15:31:07,266 - INFO - Episode 240/1000 - 平均奖励: -100.996, 平均步数: 33.8, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000016, 噪声标准差: 0.0300, 用时: 0.60s
2025-09-09 15:31:13,456 - INFO - Episode 250/1000 - 平均奖励: -100.995, 平均步数: 33.8, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000016, 噪声标准差: 0.0286, 用时: 0.63s
2025-09-09 15:31:19,604 - INFO - Episode 260/1000 - 平均奖励: -100.987, 平均步数: 33.5, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000016, 噪声标准差: 0.0272, 用时: 0.61s
2025-09-09 15:31:25,862 - INFO - Episode 270/1000 - 平均奖励: -100.984, 平均步数: 33.4, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000015, 噪声标准差: 0.0258, 用时: 0.62s
2025-09-09 15:31:32,050 - INFO - Episode 280/1000 - 平均奖励: -100.985, 平均步数: 33.5, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000015, 噪声标准差: 0.0246, 用时: 0.65s
2025-09-09 15:31:38,253 - INFO - Episode 290/1000 - 平均奖励: -100.991, 平均步数: 33.7, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000015, 噪声标准差: 0.0234, 用时: 0.60s
2025-09-09 15:31:44,554 - INFO - Episode 300/1000 - 平均奖励: -100.987, 平均步数: 33.5, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000015, 噪声标准差: 0.0222, 用时: 0.57s
