2025-09-09 16:17:20,054 - INFO - 开始训练 MADDPG...
2025-09-09 16:17:20,054 - INFO - 日志目录: log/train_2025-09-09-16-17
2025-09-09 16:17:20,054 - INFO - 配置文件已保存到: log/train_2025-09-09-16-17/config.json
2025-09-09 16:17:20,054 - INFO - 配置参数: {'map': {'kMaxX': 5.0, 'kMaxY': 5.0, 'kMinX': -5.0, 'kMinY': -5.0, 'kMaxObsR': 1.0, 'kMinObsR': 0.3, 'kNumAgents': 2, 'kNumGoals': 5, 'kNumObstacles': 3, 'kTimeStep': 0.1}, 'agent': {'kAgentRadius': 0.2, 'kMaxSpeed': 1.0, 'kMaxAngularSpeed': 1.0, 'kNumRadars': 32, 'kMaxRadarDist': 3.0}, 'goal': {'kGoalThreshold': 0.3}, 'reward': {'kTimeReward': -0.1, 'kCollisionReward': -100.0, 'kGoalReward': 100.0, 'kDistanceReward': 0.1, 'kAgentSeparationReward': 0.1, 'kMinAgentDistance': 1.0, 'kMinGoalDistance': 0.1}, 'training': {'max_episodes': 1000, 'max_steps_per_episode': 500, 'buffer_size': 100000, 'batch_size': 256, 'learning_rate': 8e-05, 'lr_decay': 0.99, 'min_learning_rate': 1e-05, 'gamma': 0.95, 'tau': 0.01, 'noise_std': 0.1, 'noise_decay': 0.995, 'min_noise_std': 0.01, 'smart_noise_control': True, 'save_interval': 500, 'log_interval': 10, 'device': 'cuda'}}
2025-09-09 16:17:20,085 - INFO - 使用设备: cuda
2025-09-09 16:17:20,092 - INFO - 环境创建成功 - Agent数量: 2, 目标数量: 5, 障碍物数量: 3
2025-09-09 16:17:20,093 - INFO - 状态维度 - Agent状态: 3, 观测维度: 32, 动作维度: 2
2025-09-09 16:17:20,093 - INFO - 全局状态维度: 30, 最大动作: [1. 1.]
2025-09-09 16:17:21,366 - INFO - 智能体团队创建成功
2025-09-09 16:17:21,366 - INFO - 经验回放缓冲区创建成功
2025-09-09 16:17:21,366 - INFO - 保存初始环境状态图...
2025-09-09 16:17:22,057 - INFO - 初始环境状态图已保存到: images/initial_environment_state.png
2025-09-09 16:17:22,057 - INFO - 开始训练循环...
2025-09-09 16:17:26,885 - INFO - Episode 10/1000 - 平均奖励: -111.047, 平均步数: 43.9, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000080, 噪声标准差: 0.0951, 平均用时: 0.48s
2025-09-09 16:17:29,511 - INFO - Episode 20/1000 - 平均奖励: -99.982, 平均步数: 16.2, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000079, 噪声标准差: 0.0905, 平均用时: 0.26s
2025-09-09 16:17:32,017 - INFO - Episode 30/1000 - 平均奖励: -100.482, 平均步数: 16.2, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000078, 噪声标准差: 0.0860, 平均用时: 0.25s
2025-09-09 16:17:34,585 - INFO - Episode 40/1000 - 平均奖励: -100.480, 平均步数: 16.1, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000078, 噪声标准差: 0.0818, 平均用时: 0.26s
2025-09-09 16:17:37,205 - INFO - Episode 50/1000 - 平均奖励: -100.478, 平均步数: 16.1, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000077, 噪声标准差: 0.0778, 平均用时: 0.26s
2025-09-09 16:17:39,794 - INFO - Episode 60/1000 - 平均奖励: -100.479, 平均步数: 16.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000076, 噪声标准差: 0.0740, 平均用时: 0.26s
2025-09-09 16:17:42,298 - INFO - Episode 70/1000 - 平均奖励: -100.460, 平均步数: 15.4, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000075, 噪声标准差: 0.0704, 平均用时: 0.25s
2025-09-09 16:17:43,910 - INFO - Episode 80/1000 - 平均奖励: -100.304, 平均步数: 9.8, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000075, 噪声标准差: 0.0670, 平均用时: 0.16s
2025-09-09 16:17:45,294 - INFO - Episode 90/1000 - 平均奖励: -100.129, 平均步数: 8.5, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000074, 噪声标准差: 0.0637, 平均用时: 0.14s
2025-09-09 16:17:46,608 - INFO - Episode 100/1000 - 平均奖励: -100.122, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000073, 噪声标准差: 0.0606, 平均用时: 0.13s
2025-09-09 16:17:47,937 - INFO - Episode 110/1000 - 平均奖励: -100.144, 平均步数: 8.1, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000072, 噪声标准差: 0.0576, 平均用时: 0.13s
