2025-09-09 16:20:31,718 - INFO - 开始训练 MADDPG...
2025-09-09 16:20:31,718 - INFO - 日志目录: log/train_2025-09-09-16-20
2025-09-09 16:20:31,718 - INFO - 配置文件已保存到: log/train_2025-09-09-16-20/config.json
2025-09-09 16:20:31,720 - INFO - 配置参数: {'map': {'kMaxX': 5.0, 'kMaxY': 5.0, 'kMinX': -5.0, 'kMinY': -5.0, 'kMaxObsR': 1.0, 'kMinObsR': 0.3, 'kNumAgents': 2, 'kNumGoals': 5, 'kNumObstacles': 3, 'kTimeStep': 0.1}, 'agent': {'kAgentRadius': 0.2, 'kMaxSpeed': 1.0, 'kMaxAngularSpeed': 1.0, 'kNumRadars': 32, 'kMaxRadarDist': 3.0}, 'goal': {'kGoalThreshold': 0.3}, 'reward': {'kTimeReward': -0.1, 'kCollisionReward': -100.0, 'kGoalReward': 100.0, 'kDistanceReward': 0.1, 'kAgentSeparationReward': 0.1, 'kMinAgentDistance': 1.0, 'kMinGoalDistance': 0.1}, 'training': {'max_episodes': 1000, 'max_steps_per_episode': 500, 'buffer_size': 100000, 'batch_size': 256, 'learning_rate': 2e-05, 'lr_decay': 0.99, 'min_learning_rate': 2e-06, 'gamma': 0.95, 'tau': 0.01, 'noise_std': 0.1, 'noise_decay': 0.995, 'min_noise_std': 0.01, 'smart_noise_control': True, 'save_interval': 500, 'log_interval': 10, 'device': 'cuda'}}
2025-09-09 16:20:31,746 - INFO - 使用设备: cuda
2025-09-09 16:20:31,753 - INFO - 环境创建成功 - Agent数量: 2, 目标数量: 5, 障碍物数量: 3
2025-09-09 16:20:31,753 - INFO - 状态维度 - Agent状态: 3, 观测维度: 32, 动作维度: 2
2025-09-09 16:20:31,753 - INFO - 全局状态维度: 30, 最大动作: [1. 1.]
2025-09-09 16:20:33,013 - INFO - 智能体团队创建成功
2025-09-09 16:20:33,013 - INFO - 经验回放缓冲区创建成功
2025-09-09 16:20:33,013 - INFO - 保存初始环境状态图...
2025-09-09 16:20:33,710 - INFO - 初始环境状态图已保存到: images/initial_environment_state.png
2025-09-09 16:20:33,710 - INFO - 开始训练循环...
2025-09-09 16:20:39,977 - INFO - Episode 10/1000 - 平均奖励: -101.290, 平均步数: 51.7, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000020, 噪声标准差: 0.0951, 平均用时: 0.63s
2025-09-09 16:20:44,135 - INFO - Episode 20/1000 - 平均奖励: -99.908, 平均步数: 26.6, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000020, 噪声标准差: 0.0905, 平均用时: 0.42s
2025-09-09 16:20:47,085 - INFO - Episode 30/1000 - 平均奖励: -100.273, 平均步数: 18.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000020, 噪声标准差: 0.0860, 平均用时: 0.29s
2025-09-09 16:20:50,501 - INFO - Episode 40/1000 - 平均奖励: -100.036, 平均步数: 20.9, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000019, 噪声标准差: 0.0818, 平均用时: 0.34s
2025-09-09 16:20:55,077 - INFO - Episode 50/1000 - 平均奖励: -99.715, 平均步数: 28.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000019, 噪声标准差: 0.0778, 平均用时: 0.46s
2025-09-09 16:20:57,427 - INFO - Episode 60/1000 - 平均奖励: -99.998, 平均步数: 14.3, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000019, 噪声标准差: 0.0740, 平均用时: 0.24s
2025-09-09 16:20:58,915 - INFO - Episode 70/1000 - 平均奖励: -100.116, 平均步数: 8.9, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000019, 噪声标准差: 0.0704, 平均用时: 0.15s
2025-09-09 16:21:00,299 - INFO - Episode 80/1000 - 平均奖励: -100.118, 平均步数: 8.1, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000019, 噪声标准差: 0.0670, 平均用时: 0.14s
2025-09-09 16:21:01,714 - INFO - Episode 90/1000 - 平均奖励: -100.117, 平均步数: 8.3, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0637, 平均用时: 0.14s
2025-09-09 16:21:03,237 - INFO - Episode 100/1000 - 平均奖励: -100.113, 平均步数: 9.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0606, 平均用时: 0.15s
2025-09-09 16:21:05,217 - INFO - Episode 110/1000 - 平均奖励: -100.084, 平均步数: 11.9, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0576, 平均用时: 0.20s
2025-09-09 16:21:15,443 - INFO - Episode 120/1000 - 平均奖励: -88.004, 平均步数: 62.8, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0548, 平均用时: 1.02s
2025-09-09 16:21:16,809 - INFO - Episode 130/1000 - 平均奖励: -100.163, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0521, 平均用时: 0.14s
2025-09-09 16:21:18,173 - INFO - Episode 140/1000 - 平均奖励: -100.162, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0496, 平均用时: 0.14s
2025-09-09 16:21:19,531 - INFO - Episode 150/1000 - 平均奖励: -100.159, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000017, 噪声标准差: 0.0471, 平均用时: 0.14s
2025-09-09 16:21:20,888 - INFO - Episode 160/1000 - 平均奖励: -100.160, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000017, 噪声标准差: 0.0448, 平均用时: 0.14s
